Unnamed: 0,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,y
23,77,Never-worked,48,5th-6th,16,Married-spouse-absent,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Male,63,9,86,Cuba,>50K
24,72,State-gov,52,Some-college,15,Divorced,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,92,57,40,Outlying-US(Guam-USVI-etc),>50K
25,9,Self-emp-inc,59,9th,15,Married-civ-spouse,Other-service,Not-in-family,White,Female,42,92,6,Holand-Netherlands,<=50K
26,20,Local-gov,9,7th-8th,14,Separated,Sales,Own-child,White,Male,85,43,39,Dominican-Republic,<=50K
27,80,Without-pay,36,Preschool,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,95,34,94,Germany,<=50K
28,69,Without-pay,17,10th,1,Married-AF-spouse,Priv-house-serv,Husband,Amer-Indian-Eskimo,Male,26,55,92,Ireland,<=50K
29,79,Federal-gov,72,Bachelors,4,Never-married,Adm-clerical,Own-child,Black,Male,66,27,41,France,<=50K
30,47,?,37,12th,3,Divorced,?,Husband,Other,Male,93,86,49,Laos,>50K
31,64,Without-pay,10,11th,3,Never-married,Armed-Forces,Not-in-family,Amer-Indian-Eskimo,Female,93,85,9,Cuba,<=50K
32,82,Private,46,Assoc-voc,14,Married-AF-spouse,Transport-moving,Unmarried,Asian-Pac-Islander,Male,30,75,31,Hong,<=50K
33,99,State-gov,44,12th,15,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,83,5,34,Portugal,>50K
34,88,?,7,7th-8th,5,Never-married,Protective-serv,Wife,Other,Male,87,19,19,Peru,<=50K
35,49,Without-pay,3,Masters,4,Divorced,Sales,Other-relative,Amer-Indian-Eskimo,Female,15,60,46,Nicaragua,<=50K
36,29,State-gov,65,Some-college,11,Married-AF-spouse,Other-service,Husband,Black,Male,76,0,80,Ecuador,<=50K
37,19,Self-emp-inc,18,11th,14,Separated,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Female,71,97,52,United-States,>50K
38,19,Federal-gov,92,Assoc-voc,4,Married-spouse-absent,Exec-managerial,Husband,White,Male,34,59,27,Columbia,<=50K
39,14,Without-pay,30,Some-college,13,Never-married,Farming-fishing,Not-in-family,Black,Male,72,67,31,Dominican-Republic,>50K
40,39,?,44,Doctorate,8,Married-AF-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Male,12,90,41,Scotland,>50K
41,32,Self-emp-inc,52,10th,2,Separated,Sales,Unmarried,Other,Female,89,58,84,France,>50K
42,65,Self-emp-not-inc,38,1st-4th,12,Widowed,Other-service,Wife,Asian-Pac-Islander,Male,45,59,5,Columbia,>50K
43,9,Federal-gov,23,Prof-school,9,Never-married,Craft-repair,Unmarried,Amer-Indian-Eskimo,Female,82,100,93,Cuba,>50K
44,57,Local-gov,7,7th-8th,13,Divorced,Farming-fishing,Other-relative,Amer-Indian-Eskimo,Male,55,17,15,Dominican-Republic,>50K
45,32,Federal-gov,95,Prof-school,8,Married-civ-spouse,?,Not-in-family,Amer-Indian-Eskimo,Male,66,93,6,Holand-Netherlands,<=50K
46,31,Private,46,Assoc-acdm,2,Separated,?,Unmarried,Other,Male,58,100,5,Philippines,>50K
47,74,Without-pay,42,Assoc-voc,14,Married-spouse-absent,Sales,Husband,Asian-Pac-Islander,Female,100,40,55,United-States,<=50K
48,23,Self-emp-inc,41,9th,14,Never-married,Transport-moving,Other-relative,Amer-Indian-Eskimo,Male,66,66,57,?,>50K
49,35,Self-emp-not-inc,14,Doctorate,13,Divorced,Sales,Wife,Other,Female,34,86,64,France,>50K
50,75,Self-emp-not-inc,2,Some-college,4,Divorced,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,Male,33,26,0,Poland,>50K
51,55,Private,68,Bachelors,16,Widowed,Prof-specialty,Husband,Other,Male,77,78,86,India,<=50K
52,28,Without-pay,4,9th,4,Divorced,Priv-house-serv,Other-relative,Amer-Indian-Eskimo,Male,3,77,21,Vietnam,>50K
53,34,Federal-gov,50,Masters,4,Married-civ-spouse,Transport-moving,Husband,White,Male,56,17,90,El-Salvador,<=50K
54,0,Without-pay,42,Assoc-acdm,7,Divorced,Armed-Forces,Unmarried,Amer-Indian-Eskimo,Male,62,27,58,Greece,<=50K
55,0,Private,61,Assoc-acdm,3,Married-AF-spouse,Handlers-cleaners,Wife,Other,Male,25,50,32,Taiwan,<=50K
56,36,Self-emp-inc,80,Bachelors,9,Married-AF-spouse,Farming-fishing,Not-in-family,Black,Female,51,40,17,Haiti,<=50K
57,53,Local-gov,3,Preschool,12,Divorced,Protective-serv,Own-child,Amer-Indian-Eskimo,Male,2,71,52,Peru,>50K
58,5,Private,74,1st-4th,10,Separated,Farming-fishing,Husband,White,Female,10,40,1,Taiwan,>50K
59,38,State-gov,8,12th,15,Never-married,Transport-moving,Own-child,Other,Female,8,73,89,England,<=50K
60,17,Private,56,9th,13,Married-civ-spouse,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Male,62,94,79,England,>50K
61,79,Without-pay,95,Preschool,5,Married-AF-spouse,Prof-specialty,Own-child,White,Male,67,53,12,?,<=50K
62,4,Without-pay,10,5th-6th,13,Married-civ-spouse,Farming-fishing,Other-relative,Other,Female,49,4,68,Trinadad&Tobago,<=50K
63,42,State-gov,96,Masters,6,Separated,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Female,94,87,80,Poland,>50K
64,58,?,71,9th,14,Never-married,Tech-support,Own-child,Amer-Indian-Eskimo,Male,60,95,12,Greece,>50K
65,31,Never-worked,75,7th-8th,4,Separated,Handlers-cleaners,Other-relative,White,Male,19,43,87,Guatemala,<=50K
66,1,Private,10,5th-6th,12,Separated,Sales,Not-in-family,Asian-Pac-Islander,Male,78,96,69,Puerto-Rico,>50K
67,65,Self-emp-inc,42,Assoc-voc,3,Never-married,Tech-support,Unmarried,White,Male,15,99,45,Taiwan,>50K
68,41,State-gov,51,Assoc-voc,9,Married-spouse-absent,Machine-op-inspct,Husband,Asian-Pac-Islander,Female,96,43,78,Outlying-US(Guam-USVI-etc),<=50K
69,57,Private,49,5th-6th,14,Married-AF-spouse,Other-service,Other-relative,Other,Female,1,4,14,Italy,>50K
70,35,?,1,Bachelors,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,16,53,Japan,<=50K
71,11,?,78,HS-grad,12,Divorced,Prof-specialty,Other-relative,Amer-Indian-Eskimo,Male,99,31,67,Hong,>50K
72,46,Federal-gov,20,Doctorate,2,Never-married,Transport-moving,Wife,Asian-Pac-Islander,Female,55,48,16,Ireland,>50K
73,82,Local-gov,36,Assoc-voc,14,Married-civ-spouse,Tech-support,Other-relative,White,Female,53,56,13,Hong,>50K
74,91,Never-worked,35,Preschool,10,Married-spouse-absent,Exec-managerial,Husband,White,Female,35,25,86,?,<=50K
75,0,Local-gov,8,10th,14,Married-AF-spouse,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,12,52,87,Italy,>50K
76,14,Self-emp-not-inc,76,Preschool,10,Separated,Sales,Other-relative,Asian-Pac-Islander,Male,60,73,61,Vietnam,<=50K
77,99,Self-emp-inc,38,11th,15,Divorced,Farming-fishing,Unmarried,Other,Female,14,29,15,Philippines,>50K
78,53,Self-emp-not-inc,15,10th,15,Married-AF-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,9,20,86,Columbia,<=50K
79,12,Federal-gov,98,7th-8th,16,Never-married,Transport-moving,Husband,Black,Male,65,71,43,Puerto-Rico,<=50K
80,42,State-gov,51,Assoc-acdm,15,Married-spouse-absent,Handlers-cleaners,Own-child,Asian-Pac-Islander,Female,37,90,83,Guatemala,<=50K
81,84,Private,0,10th,5,Separated,Transport-moving,Not-in-family,Asian-Pac-Islander,Male,34,1,34,Dominican-Republic,<=50K
82,75,Never-worked,87,7th-8th,11,Never-married,Other-service,Husband,Amer-Indian-Eskimo,Male,20,9,51,Ireland,>50K
83,68,State-gov,82,10th,16,Separated,Priv-house-serv,Not-in-family,Other,Female,40,43,58,Germany,>50K
84,6,Local-gov,22,Some-college,16,Married-AF-spouse,Sales,Unmarried,White,Female,87,36,50,Cuba,<=50K
85,68,Never-worked,26,HS-grad,8,Separated,Tech-support,Husband,Black,Male,75,95,33,China,<=50K
86,47,Federal-gov,16,Prof-school,1,Never-married,Armed-Forces,Unmarried,Amer-Indian-Eskimo,Female,14,100,86,Vietnam,<=50K
87,3,?,27,12th,11,Separated,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,78,72,69,Japan,<=50K
88,76,?,65,5th-6th,15,Divorced,Adm-clerical,Husband,White,Male,77,85,0,Taiwan,>50K
89,100,Local-gov,23,Masters,3,Never-married,Craft-repair,Husband,White,Male,69,77,72,Jamaica,<=50K
90,52,Self-emp-inc,16,12th,16,Married-civ-spouse,Priv-house-serv,Unmarried,Amer-Indian-Eskimo,Male,47,32,76,South,>50K
91,78,Without-pay,94,Bachelors,4,Married-AF-spouse,Transport-moving,Husband,White,Male,7,43,88,Holand-Netherlands,>50K
92,15,Private,46,HS-grad,10,Widowed,Machine-op-inspct,Wife,Black,Male,58,97,78,Trinadad&Tobago,>50K
93,20,Federal-gov,35,1st-4th,12,Widowed,Armed-Forces,Own-child,White,Female,65,58,27,Japan,<=50K
94,99,Self-emp-not-inc,42,HS-grad,10,Married-civ-spouse,Sales,Other-relative,Other,Male,71,38,77,Guatemala,>50K
95,58,Private,21,Prof-school,16,Separated,Adm-clerical,Wife,White,Female,12,7,88,Jamaica,<=50K
96,23,Never-worked,14,10th,5,Divorced,Machine-op-inspct,Wife,Black,Female,73,97,93,France,>50K
97,79,Never-worked,36,12th,2,Widowed,Farming-fishing,Husband,Other,Female,79,96,21,Guatemala,>50K
98,13,Private,27,11th,6,Never-married,Armed-Forces,Wife,Amer-Indian-Eskimo,Female,32,56,13,United-States,>50K
99,85,Self-emp-inc,16,12th,15,Divorced,Sales,Own-child,Amer-Indian-Eskimo,Female,64,89,41,Yugoslavia,<=50K
100,48,Self-emp-inc,26,Bachelors,11,Separated,Exec-managerial,Husband,Other,Male,2,51,69,United-States,<=50K
101,49,Self-emp-inc,85,Doctorate,12,Married-AF-spouse,Exec-managerial,Other-relative,Other,Female,63,8,16,Hungary,<=50K
102,69,?,89,Assoc-voc,2,Married-spouse-absent,Protective-serv,Unmarried,Amer-Indian-Eskimo,Male,99,73,49,Cambodia,>50K
103,41,Never-worked,87,10th,2,Married-spouse-absent,Prof-specialty,Other-relative,Black,Female,11,9,4,Outlying-US(Guam-USVI-etc),>50K
104,35,Federal-gov,59,7th-8th,6,Divorced,Armed-Forces,Other-relative,Amer-Indian-Eskimo,Female,88,85,16,Canada,<=50K
105,64,Federal-gov,22,Preschool,5,Divorced,Protective-serv,Not-in-family,Black,Female,93,98,78,Ecuador,<=50K
106,95,Without-pay,65,1st-4th,5,Married-AF-spouse,Other-service,Unmarried,White,Female,5,97,76,France,<=50K
107,69,Federal-gov,84,Bachelors,7,Never-married,Transport-moving,Unmarried,Black,Female,70,55,19,Laos,<=50K
108,94,Local-gov,21,Some-college,2,Never-married,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Male,64,9,50,Portugal,>50K
109,0,Self-emp-not-inc,36,Assoc-voc,8,Married-spouse-absent,Farming-fishing,Husband,Other,Female,78,37,96,Japan,>50K
110,50,State-gov,47,Preschool,10,Married-spouse-absent,Exec-managerial,Husband,Other,Male,50,10,16,Italy,>50K
111,36,Self-emp-not-inc,68,Assoc-voc,6,Widowed,Handlers-cleaners,Other-relative,Other,Male,35,42,53,Trinadad&Tobago,<=50K
112,34,State-gov,54,5th-6th,10,Widowed,Other-service,Wife,Asian-Pac-Islander,Female,22,99,73,Trinadad&Tobago,<=50K
113,48,Without-pay,67,5th-6th,8,Divorced,Tech-support,Wife,Asian-Pac-Islander,Male,25,45,60,Taiwan,<=50K
114,93,State-gov,60,11th,6,Widowed,Handlers-cleaners,Husband,Asian-Pac-Islander,Female,7,80,28,Iran,<=50K
115,3,Federal-gov,21,Doctorate,4,Separated,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Male,38,50,48,Dominican-Republic,>50K
116,98,Self-emp-not-inc,34,Bachelors,12,Married-spouse-absent,Transport-moving,Own-child,Asian-Pac-Islander,Female,52,27,80,Outlying-US(Guam-USVI-etc),<=50K
117,42,Private,80,Doctorate,1,Never-married,Handlers-cleaners,Own-child,Black,Male,52,23,95,Greece,>50K
118,77,Private,33,11th,11,Married-civ-spouse,?,Wife,White,Male,55,96,31,Holand-Netherlands,<=50K
119,21,Self-emp-inc,22,Masters,4,Widowed,Adm-clerical,Wife,Black,Male,35,71,43,Guatemala,>50K
120,73,State-gov,0,Assoc-acdm,13,Widowed,Tech-support,Own-child,Black,Female,93,86,26,?,>50K
121,0,Self-emp-not-inc,6,9th,16,Separated,Armed-Forces,Not-in-family,Other,Male,81,26,37,Thailand,<=50K
122,10,Private,20,Doctorate,8,Married-spouse-absent,Tech-support,Not-in-family,White,Male,56,27,8,Jamaica,<=50K
123,43,?,13,1st-4th,7,Divorced,Priv-house-serv,Husband,Other,Male,0,63,17,Hong,>50K
124,58,Self-emp-inc,63,Prof-school,14,Widowed,Sales,Husband,Other,Female,48,80,32,China,>50K
125,23,State-gov,55,10th,7,Married-spouse-absent,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,32,74,36,Hungary,<=50K
126,59,Self-emp-not-inc,36,9th,8,Married-AF-spouse,Exec-managerial,Other-relative,Black,Female,36,89,20,Germany,<=50K
127,2,Without-pay,4,Assoc-acdm,11,Married-civ-spouse,Exec-managerial,Own-child,Asian-Pac-Islander,Male,5,93,60,Hungary,<=50K
128,98,Without-pay,87,Prof-school,8,Married-civ-spouse,Transport-moving,Wife,White,Female,51,61,28,Thailand,<=50K
129,62,Without-pay,82,9th,12,Married-civ-spouse,Adm-clerical,Own-child,Amer-Indian-Eskimo,Female,41,36,77,Laos,<=50K
130,35,Federal-gov,47,10th,15,Married-spouse-absent,Priv-house-serv,Unmarried,Other,Female,65,19,46,China,>50K
131,94,Without-pay,53,7th-8th,16,Separated,Farming-fishing,Other-relative,White,Female,90,43,97,Ecuador,>50K
132,67,Never-worked,76,Some-college,14,Widowed,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,35,33,47,Mexico,>50K
133,82,Self-emp-inc,23,9th,1,Separated,Protective-serv,Not-in-family,Other,Male,0,62,55,Scotland,>50K
134,46,Without-pay,77,7th-8th,9,Widowed,Protective-serv,Husband,White,Male,5,67,81,Japan,>50K
135,99,State-gov,92,HS-grad,11,Never-married,Handlers-cleaners,Not-in-family,Black,Female,70,52,68,Mexico,>50K
136,20,State-gov,94,Assoc-voc,4,Divorced,?,Own-child,Asian-Pac-Islander,Male,27,63,25,Thailand,<=50K
137,81,Without-pay,50,11th,2,Married-civ-spouse,Transport-moving,Husband,White,Female,29,49,60,Nicaragua,>50K
138,50,Self-emp-not-inc,8,9th,3,Married-civ-spouse,Transport-moving,Other-relative,Amer-Indian-Eskimo,Female,15,79,2,Italy,<=50K
139,27,Private,55,Assoc-voc,14,Married-AF-spouse,Armed-Forces,Unmarried,White,Female,73,100,55,Germany,>50K
140,14,Private,71,HS-grad,10,Married-AF-spouse,Other-service,Husband,Amer-Indian-Eskimo,Female,7,0,6,Outlying-US(Guam-USVI-etc),<=50K
141,41,Never-worked,30,12th,7,Never-married,Exec-managerial,Husband,White,Female,47,59,2,Cambodia,>50K
142,58,Self-emp-not-inc,11,1st-4th,1,Married-AF-spouse,Craft-repair,Own-child,Other,Female,88,87,60,Cambodia,<=50K
143,65,Private,41,HS-grad,5,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,19,20,88,Iran,>50K
144,36,State-gov,94,12th,15,Married-civ-spouse,Armed-Forces,Not-in-family,Black,Female,0,62,26,Honduras,<=50K
145,10,Without-pay,63,Masters,10,Separated,Tech-support,Unmarried,Black,Female,95,61,7,France,<=50K
146,86,Never-worked,63,11th,2,Never-married,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,64,56,38,Yugoslavia,>50K
147,43,?,89,HS-grad,15,Married-AF-spouse,Machine-op-inspct,Own-child,Asian-Pac-Islander,Female,49,64,66,South,<=50K
148,11,State-gov,68,7th-8th,16,Married-AF-spouse,Protective-serv,Other-relative,Other,Male,53,52,61,Outlying-US(Guam-USVI-etc),<=50K
149,2,Self-emp-inc,41,Assoc-voc,16,Married-civ-spouse,Priv-house-serv,Unmarried,White,Male,23,4,68,?,>50K
150,51,Federal-gov,4,7th-8th,15,Married-AF-spouse,Adm-clerical,Unmarried,Other,Female,8,81,21,United-States,<=50K
151,80,Self-emp-not-inc,21,Doctorate,10,Never-married,Armed-Forces,Husband,Other,Male,83,16,64,Mexico,>50K
152,32,Private,64,11th,5,Widowed,Machine-op-inspct,Own-child,Asian-Pac-Islander,Male,10,44,52,Italy,<=50K
153,54,Without-pay,77,Bachelors,5,Married-civ-spouse,Adm-clerical,Own-child,White,Female,24,49,24,Poland,<=50K
154,0,Never-worked,54,1st-4th,4,Separated,Priv-house-serv,Not-in-family,Asian-Pac-Islander,Female,92,10,40,Yugoslavia,>50K
155,38,Without-pay,60,11th,5,Married-AF-spouse,Tech-support,Not-in-family,Asian-Pac-Islander,Male,38,88,0,?,>50K
156,19,Federal-gov,37,10th,5,Separated,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,37,73,10,Thailand,>50K
157,46,Federal-gov,66,Assoc-voc,4,Separated,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,84,53,39,Iran,>50K
158,42,Private,28,9th,16,Separated,Priv-house-serv,Unmarried,Asian-Pac-Islander,Male,70,84,17,Hungary,>50K
159,56,Federal-gov,80,HS-grad,7,Married-AF-spouse,Craft-repair,Wife,Asian-Pac-Islander,Female,10,27,21,Germany,<=50K
160,60,Local-gov,17,1st-4th,14,Married-civ-spouse,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,94,42,95,?,>50K
161,77,Local-gov,52,5th-6th,15,Married-spouse-absent,Armed-Forces,Other-relative,Asian-Pac-Islander,Male,54,93,88,Holand-Netherlands,>50K
162,30,Self-emp-inc,30,Assoc-acdm,2,Married-spouse-absent,?,Husband,Other,Female,83,91,19,Poland,>50K
163,24,Self-emp-not-inc,76,Doctorate,7,Divorced,Protective-serv,Other-relative,Black,Male,3,29,61,Trinadad&Tobago,>50K
164,2,Local-gov,81,12th,2,Separated,Priv-house-serv,Unmarried,White,Female,43,70,46,Ireland,>50K
165,3,Never-worked,71,Assoc-acdm,7,Divorced,Prof-specialty,Unmarried,Other,Male,57,13,6,Taiwan,>50K
166,94,Private,12,10th,10,Divorced,Craft-repair,Own-child,Other,Male,15,53,49,Cambodia,<=50K
167,98,Never-worked,24,Bachelors,10,Divorced,Handlers-cleaners,Unmarried,White,Male,96,61,55,Italy,<=50K
168,13,?,8,7th-8th,13,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Male,26,88,52,Holand-Netherlands,>50K
169,40,Self-emp-inc,64,Bachelors,2,Married-AF-spouse,Handlers-cleaners,Other-relative,Black,Male,34,96,6,Scotland,>50K
170,72,Private,38,Assoc-voc,9,Married-civ-spouse,Transport-moving,Other-relative,Black,Female,17,47,51,Hungary,<=50K
171,19,Never-worked,53,1st-4th,1,Separated,Sales,Not-in-family,Amer-Indian-Eskimo,Female,61,44,38,France,>50K
172,95,Local-gov,82,7th-8th,2,Married-spouse-absent,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,94,10,99,Honduras,<=50K
173,72,Never-worked,85,7th-8th,8,Married-AF-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,34,58,78,Taiwan,<=50K
174,26,Local-gov,25,Doctorate,4,Never-married,Protective-serv,Own-child,Other,Female,72,45,65,Greece,>50K
175,66,?,85,Assoc-acdm,8,Married-AF-spouse,Exec-managerial,Not-in-family,Black,Male,39,60,83,Honduras,<=50K
176,52,Private,82,Assoc-acdm,11,Never-married,Handlers-cleaners,Husband,Asian-Pac-Islander,Female,90,11,51,Canada,>50K
177,67,Federal-gov,83,Preschool,8,Married-civ-spouse,Other-service,Wife,Other,Male,84,41,80,Ireland,<=50K
178,61,Self-emp-inc,29,Preschool,13,Widowed,Machine-op-inspct,Wife,Other,Female,95,94,57,Honduras,<=50K
179,14,Never-worked,49,9th,12,Widowed,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,53,24,34,China,>50K
180,96,Local-gov,67,Some-college,7,Widowed,Priv-house-serv,Own-child,Black,Female,41,56,72,Nicaragua,<=50K
181,4,Federal-gov,30,9th,7,Widowed,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Female,89,51,40,Honduras,>50K
182,67,Self-emp-not-inc,3,5th-6th,10,Married-spouse-absent,Handlers-cleaners,Other-relative,White,Male,97,11,48,Greece,<=50K
183,11,?,53,11th,15,Married-civ-spouse,Protective-serv,Other-relative,Black,Female,62,50,10,?,<=50K
184,86,Private,20,Masters,10,Never-married,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Female,10,47,84,Canada,>50K
185,77,?,6,Assoc-acdm,7,Widowed,?,Not-in-family,Amer-Indian-Eskimo,Female,77,35,88,Dominican-Republic,>50K
186,75,Self-emp-not-inc,56,Some-college,7,Divorced,Machine-op-inspct,Husband,Black,Female,15,32,87,Greece,<=50K
187,56,State-gov,42,HS-grad,16,Never-married,Prof-specialty,Husband,Other,Male,82,55,87,Iran,>50K
188,16,Self-emp-not-inc,22,Some-college,12,Separated,Tech-support,Unmarried,Asian-Pac-Islander,Male,19,88,40,South,>50K
189,24,?,44,9th,4,Never-married,Armed-Forces,Other-relative,Asian-Pac-Islander,Male,40,87,85,Peru,<=50K
190,29,Never-worked,14,Prof-school,9,Married-civ-spouse,Tech-support,Unmarried,Asian-Pac-Islander,Female,65,1,43,Poland,>50K
191,21,Private,45,10th,4,Married-civ-spouse,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Female,41,41,52,Canada,<=50K
192,25,Federal-gov,48,9th,1,Married-AF-spouse,Armed-Forces,Own-child,Asian-Pac-Islander,Male,72,9,82,Dominican-Republic,>50K
193,80,?,10,Bachelors,3,Never-married,Transport-moving,Wife,Asian-Pac-Islander,Male,37,11,91,England,>50K
194,60,Self-emp-not-inc,51,12th,2,Married-spouse-absent,Machine-op-inspct,Own-child,Black,Female,52,12,1,Columbia,<=50K
195,61,Self-emp-inc,86,Bachelors,11,Married-spouse-absent,Farming-fishing,Husband,White,Female,30,69,87,United-States,>50K
196,83,Self-emp-inc,65,Doctorate,3,Never-married,Machine-op-inspct,Not-in-family,White,Female,97,38,43,Nicaragua,>50K
197,33,Never-worked,94,11th,6,Separated,Prof-specialty,Own-child,Asian-Pac-Islander,Female,91,96,54,Vietnam,<=50K
198,32,Never-worked,64,Masters,4,Divorced,Farming-fishing,Other-relative,Amer-Indian-Eskimo,Female,35,10,65,Philippines,>50K
199,100,Federal-gov,48,10th,13,Widowed,Sales,Own-child,White,Female,30,6,28,Haiti,<=50K
200,70,Without-pay,80,Prof-school,15,Widowed,?,Own-child,White,Female,31,83,41,Hong,>50K
201,85,Self-emp-not-inc,82,Prof-school,7,Separated,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,42,88,6,England,>50K
202,31,Self-emp-inc,68,Preschool,2,Married-AF-spouse,Other-service,Own-child,White,Female,37,42,72,South,<=50K
203,13,Local-gov,65,12th,8,Married-civ-spouse,Machine-op-inspct,Other-relative,Black,Male,49,44,1,Laos,<=50K
204,71,Private,21,11th,1,Married-civ-spouse,Priv-house-serv,Own-child,White,Female,40,74,98,Trinadad&Tobago,<=50K
205,56,Local-gov,1,Doctorate,12,Married-civ-spouse,Armed-Forces,Other-relative,White,Male,7,34,24,Honduras,<=50K
206,24,State-gov,64,9th,1,Married-civ-spouse,Priv-house-serv,Own-child,Asian-Pac-Islander,Female,55,74,93,South,>50K
207,79,Self-emp-inc,21,9th,2,Never-married,Sales,Husband,Black,Female,12,4,54,China,>50K
208,41,State-gov,93,1st-4th,11,Widowed,Prof-specialty,Husband,Black,Female,99,79,4,Poland,>50K
209,18,Self-emp-not-inc,79,Some-college,16,Married-AF-spouse,Prof-specialty,Own-child,Black,Male,1,31,64,Trinadad&Tobago,<=50K
210,40,Self-emp-not-inc,59,7th-8th,9,Married-civ-spouse,Handlers-cleaners,Other-relative,Other,Male,93,1,26,Iran,<=50K
211,54,Federal-gov,11,7th-8th,2,Divorced,Protective-serv,Unmarried,Other,Male,59,26,3,Trinadad&Tobago,>50K
212,79,State-gov,72,9th,6,Widowed,Armed-Forces,Other-relative,Other,Male,50,21,18,Nicaragua,<=50K
213,11,Federal-gov,0,Masters,2,Divorced,Machine-op-inspct,Husband,Other,Female,38,23,24,Puerto-Rico,>50K
