Unnamed: 0,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,y
14,58,Never-worked,59,Assoc-acdm,5,Divorced,Craft-repair,Wife,Other,Male,46,32,74,smuiqdyphrpfphhyobhdwmwr,>50K
15,65,Self-emp-inc,4,Masters,4,Never-married,Other-service,Wife,Amer-Indian-Eskimo,Male,3,45,81,pndwkcjmedoarveikqtdhzng,<=50K
16,39,State-gov,94,9th,4,Never-married,Other-service,Not-in-family,Black,Male,48,74,36,funqifubeuqarnydgfpytvyw,>50K
17,87,Never-worked,56,Assoc-acdm,1,Married-AF-spouse,Transport-moving,Husband,White,Female,99,29,34,nzwnvbdcarmrojrqeltnqklu,>50K
18,46,Never-worked,63,Preschool,7,Married-AF-spouse,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,23,90,53,rdqhhfclmjpsheorxdeaeppv,>50K
19,88,Self-emp-inc,36,Bachelors,16,Divorced,Protective-serv,Unmarried,Amer-Indian-Eskimo,Male,16,12,31,bgnrewxtttubrfoykwspcchw,<=50K
20,81,Local-gov,8,Masters,5,Never-married,?,Not-in-family,Other,Male,5,83,82,ylxfjclqczpxmmaflqziukjn,<=50K
21,37,State-gov,39,HS-grad,16,Widowed,Farming-fishing,Not-in-family,Amer-Indian-Eskimo,Male,78,48,90,ublhpconduppbdzyozrhiisc,<=50K
22,25,Never-worked,85,11th,12,Separated,Exec-managerial,Husband,Asian-Pac-Islander,Male,55,20,23,tcikrizsygomtrgaqdsaohli,>50K
23,77,Federal-gov,48,9th,8,Married-spouse-absent,Exec-managerial,Unmarried,White,Female,63,9,86,lzvvnisgaqheokimxbqjikge,>50K
24,72,Without-pay,52,12th,1,Never-married,Tech-support,Unmarried,White,Male,92,57,40,cqjjjeifivyfbnavunnxcdpu,<=50K
25,9,?,59,Assoc-acdm,1,Divorced,Farming-fishing,Husband,Other,Male,42,92,6,luufioxbsiqtisrcgomkjtlk,<=50K
26,20,Private,9,Some-college,2,Married-AF-spouse,Protective-serv,Own-child,Other,Female,85,43,39,vmvxwqnqeugvylolhsdpaeoj,>50K
27,80,Never-worked,36,1st-4th,16,Divorced,Sales,Not-in-family,Other,Female,95,34,94,ejazjejsdiaieguofovojpat,>50K
28,69,Never-worked,17,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,26,55,92,nvdybbjvbhfxzzqjuiddftla,>50K
29,79,Self-emp-not-inc,72,Doctorate,14,Separated,Exec-managerial,Own-child,Asian-Pac-Islander,Female,66,27,41,nienwgosvyioanedcxupwdkr,<=50K
30,47,State-gov,37,11th,7,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,93,86,49,gmermrrepwuwuwbjzcezobrv,>50K
31,64,Never-worked,10,HS-grad,7,Separated,Handlers-cleaners,Husband,White,Male,93,85,9,galicxmcsarwkpvveoiymmbe,<=50K
32,82,Local-gov,46,7th-8th,2,Married-civ-spouse,Priv-house-serv,Unmarried,Black,Female,30,75,31,aotusnigikqlzjiturgmeuhi,<=50K
33,99,Without-pay,44,11th,1,Separated,Prof-specialty,Own-child,Black,Female,83,5,34,ctzahkstlzfnqhsxyfxetwon,<=50K
34,88,State-gov,7,Some-college,5,Separated,?,Other-relative,Amer-Indian-Eskimo,Female,87,19,19,mncvggebrqzvwfvjzmsebwip,>50K
35,49,Never-worked,3,10th,14,Never-married,Protective-serv,Wife,White,Male,15,60,46,uhtuxexobipoaarkgobghnlr,<=50K
36,29,Without-pay,65,12th,15,Married-civ-spouse,Farming-fishing,Not-in-family,Asian-Pac-Islander,Female,76,0,80,tzxsgbhhnakmgommdumnvikt,<=50K
37,19,?,18,HS-grad,2,Married-AF-spouse,?,Husband,White,Male,71,97,52,dfjfagaprcvfebnoofxdmzau,>50K
38,19,Self-emp-not-inc,92,7th-8th,14,Married-spouse-absent,Other-service,Not-in-family,Other,Female,34,59,27,dltiozayyyhfhrulldbphmaj,<=50K
39,14,Never-worked,30,12th,6,Separated,Sales,Husband,Asian-Pac-Islander,Female,72,67,31,qinftkhdzedvabewwsbepilb,<=50K
40,39,State-gov,44,Prof-school,11,Married-civ-spouse,Transport-moving,Other-relative,Black,Female,12,90,41,raohlxengthmhjqssllixsgc,<=50K
41,32,?,52,Bachelors,9,Married-AF-spouse,Protective-serv,Unmarried,Amer-Indian-Eskimo,Male,89,58,84,czpvilbphpgeoomshkeyfafx,<=50K
42,65,Self-emp-inc,38,Masters,3,Widowed,Farming-fishing,Other-relative,Black,Female,45,59,5,rdczctzrfzhttbscfjzvtnev,<=50K
43,9,Self-emp-not-inc,23,Preschool,4,Separated,Prof-specialty,Unmarried,White,Male,82,100,93,halrgohinmrcwfpmdihqnlpk,<=50K
44,57,Private,7,Some-college,6,Never-married,Sales,Wife,White,Female,55,17,15,aawcoqoddqughwopzgoohsqb,>50K
45,32,Self-emp-not-inc,95,Preschool,11,Divorced,Adm-clerical,Husband,White,Female,66,93,6,qwxjotdeomfvacsycbtjmaan,>50K
46,31,Local-gov,46,Assoc-voc,9,Married-AF-spouse,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,58,100,5,vioocctgmaupxnrfoxexfkta,>50K
47,74,Never-worked,42,7th-8th,2,Married-spouse-absent,Protective-serv,Not-in-family,Black,Male,100,40,55,neijnvmvofzriyjeufisndkr,<=50K
48,23,?,41,Assoc-acdm,2,Separated,Priv-house-serv,Wife,White,Female,66,66,57,xdrsqsucmsmlfeaidzwjfsyd,<=50K
49,35,Self-emp-inc,14,Prof-school,6,Never-married,Protective-serv,Other-relative,Amer-Indian-Eskimo,Male,34,86,64,zgkpuuzjqqbjcodcrnentodw,<=50K
50,75,Self-emp-inc,2,12th,14,Never-married,Craft-repair,Husband,Black,Female,33,26,0,ddvqkwruqvwdfzswdmwxnjqo,>50K
51,55,Local-gov,68,Doctorate,8,Widowed,Tech-support,Not-in-family,Amer-Indian-Eskimo,Female,77,78,86,klqemdskudywgvjpyzxdzpro,>50K
52,28,Never-worked,4,Assoc-acdm,14,Never-married,Machine-op-inspct,Wife,White,Female,3,77,21,bhqoffzlpqwbyhmlduoioprc,>50K
53,34,Self-emp-not-inc,50,10th,14,Divorced,Priv-house-serv,Not-in-family,Other,Female,56,17,90,yqdcwzfnkaqbepmaoegoujon,>50K
54,0,Never-worked,42,Assoc-voc,12,Never-married,Handlers-cleaners,Unmarried,White,Female,62,27,58,ybmfuaaywoaeghdlnrwaquyc,>50K
55,0,Local-gov,61,Assoc-voc,7,Married-civ-spouse,Craft-repair,Other-relative,Amer-Indian-Eskimo,Female,25,50,32,uyidvntwcnvuoffrtynhjyjf,>50K
56,36,?,80,Doctorate,4,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,51,40,17,hoifjaxnkfotllgmupwrcixy,<=50K
57,53,Private,3,1st-4th,3,Never-married,?,Own-child,White,Female,2,71,52,kpzwpgvweqursqneidhyzwzs,<=50K
58,5,Local-gov,74,Masters,16,Married-AF-spouse,Sales,Not-in-family,Other,Male,10,40,1,tiqephatusinfmmoqmqlefdg,>50K
59,38,Without-pay,8,11th,1,Separated,Priv-house-serv,Own-child,Amer-Indian-Eskimo,Male,8,73,89,glaloxtxmirqufkiujiznmhv,<=50K
60,17,Local-gov,56,Assoc-acdm,6,Divorced,Craft-repair,Wife,White,Female,62,94,79,yrmzvdqzxnjavdgdsdvbsglc,>50K
61,79,Never-worked,95,1st-4th,5,Married-civ-spouse,Tech-support,Own-child,Other,Female,67,53,12,zbdulqfnrkvftijvexwyffns,>50K
62,4,Never-worked,10,9th,6,Divorced,Sales,Wife,Amer-Indian-Eskimo,Male,49,4,68,wcuftsdowazhisyhchxwthmz,>50K
63,42,Without-pay,96,10th,10,Married-AF-spouse,Craft-repair,Husband,White,Male,94,87,80,vfhsscnhpskvgjydhboesahv,<=50K
64,58,State-gov,71,Assoc-acdm,2,Separated,Armed-Forces,Own-child,White,Female,60,95,12,kqarrdhsijnlozjxxculmjat,<=50K
65,31,Federal-gov,75,Some-college,14,Married-AF-spouse,Craft-repair,Wife,Other,Female,19,43,87,rovjdcnakvdvkkoqvwieladh,<=50K
66,1,Local-gov,10,9th,3,Married-AF-spouse,Protective-serv,Husband,Black,Female,78,96,69,kxgujoersdjrjewhvosxmjmt,<=50K
67,65,?,42,7th-8th,7,Separated,Armed-Forces,Unmarried,Other,Female,15,99,45,fgtkmnnwutsnwmyunshqthmq,>50K
68,41,Without-pay,51,7th-8th,4,Married-spouse-absent,Transport-moving,Not-in-family,Black,Male,96,43,78,kbjckelqnfmimcfxkimcdday,<=50K
69,57,Local-gov,49,9th,2,Married-civ-spouse,Farming-fishing,Wife,Amer-Indian-Eskimo,Male,1,4,14,dqynnepgyjrorsmhhwssjupr,<=50K
70,35,State-gov,1,Doctorate,2,Never-married,Other-service,Unmarried,Black,Male,0,16,53,jtfsfukvslnzdnhupkwvwpcj,>50K
71,11,State-gov,78,5th-6th,3,Never-married,Tech-support,Wife,White,Female,99,31,67,muethduaosumcabncmfrtylr,<=50K
72,46,Self-emp-not-inc,20,Prof-school,9,Separated,Priv-house-serv,Other-relative,Black,Male,55,48,16,xmgwfvtrinzgzxmhwfkxqikh,>50K
73,82,Private,36,7th-8th,2,Divorced,Armed-Forces,Wife,Other,Male,53,56,13,sorgvnqrenspedobskqghwdf,<=50K
74,91,Federal-gov,35,1st-4th,16,Married-spouse-absent,Other-service,Not-in-family,Other,Male,35,25,86,rsumahtcozzsvsqgcwaskppm,<=50K
75,0,Private,8,Bachelors,2,Married-civ-spouse,Other-service,Husband,White,Female,12,52,87,zltuwjjuzgumgrjkkqmdaeuf,<=50K
76,14,Self-emp-inc,76,1st-4th,16,Married-AF-spouse,Protective-serv,Wife,Black,Female,60,73,61,rnurqmudkbrxjklqfebmioye,<=50K
77,99,?,38,HS-grad,1,Never-married,Sales,Unmarried,Amer-Indian-Eskimo,Male,14,29,15,ywwmdjqmoxqbknbxpnwnfppa,>50K
78,53,Self-emp-inc,15,Bachelors,1,Married-civ-spouse,Other-service,Not-in-family,White,Male,9,20,86,owabphrkeupheqrxrleqjknz,<=50K
79,12,Self-emp-not-inc,98,Some-college,8,Separated,Priv-house-serv,Not-in-family,Asian-Pac-Islander,Female,65,71,43,cuhmlwrmdyypnhbyxffytmpg,<=50K
80,42,Without-pay,51,Assoc-voc,1,Married-spouse-absent,Craft-repair,Own-child,Black,Male,37,90,83,ympdhcdlngufugehcrnqifie,<=50K
81,84,Local-gov,0,Bachelors,5,Married-AF-spouse,Priv-house-serv,Husband,Black,Female,34,1,34,yeposfwtlumdcvzeinqlzaop,<=50K
82,75,Federal-gov,87,Some-college,15,Separated,Farming-fishing,Not-in-family,White,Female,20,9,51,iklgxomjtbrpoqxdgeegbrlp,<=50K
83,68,Without-pay,82,Bachelors,8,Married-AF-spouse,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Male,40,43,58,pwwondxscijjapleesbjbytm,<=50K
84,6,Private,22,12th,8,Married-civ-spouse,Protective-serv,Unmarried,Other,Male,87,36,50,hytehbvjyilwowsmkviopfsx,<=50K
85,68,Federal-gov,26,5th-6th,11,Married-AF-spouse,Armed-Forces,Not-in-family,Asian-Pac-Islander,Female,75,95,33,ernibucgrhfcutklxotnxmxp,>50K
86,47,Self-emp-not-inc,16,Preschool,13,Separated,Handlers-cleaners,Unmarried,White,Male,14,100,86,qtdbjvjtnvvzasmrvbuufkym,<=50K
87,3,State-gov,27,11th,15,Married-AF-spouse,Prof-specialty,Husband,Black,Male,78,72,69,wxkypekwgrfcrxafsaltzikw,<=50K
88,76,State-gov,65,9th,1,Never-married,Exec-managerial,Not-in-family,Other,Female,77,85,0,bgiacwvmkzcxxcrxjxjlirzj,<=50K
89,100,Private,23,10th,7,Separated,Prof-specialty,Not-in-family,Other,Female,69,77,72,vhbfgoegcdwjbuzkpxgoilsm,>50K
90,52,?,16,11th,8,Divorced,Machine-op-inspct,Unmarried,White,Female,47,32,76,iwrstwbsavzwmzwmophtuulh,>50K
91,78,Never-worked,94,Doctorate,14,Married-civ-spouse,Priv-house-serv,Not-in-family,Other,Female,7,43,88,ojukahauqmuaulbiktwkkrhw,>50K
92,15,Local-gov,46,5th-6th,16,Widowed,Transport-moving,Other-relative,Asian-Pac-Islander,Female,58,97,78,fexyoyylefzbreykhhizechk,>50K
93,20,Self-emp-not-inc,35,Masters,3,Widowed,Handlers-cleaners,Own-child,Other,Male,65,58,27,pjkoyqpwdwdmcyilviacpcet,>50K
94,99,Self-emp-inc,42,5th-6th,16,Divorced,Protective-serv,Wife,Amer-Indian-Eskimo,Female,71,38,77,wbgkfyfutjsuwynjnqbankdv,<=50K
95,58,Local-gov,21,Preschool,8,Married-AF-spouse,Exec-managerial,Other-relative,Other,Male,12,7,88,aiewqsdbqufwwhtkakacgljb,<=50K
96,23,Federal-gov,14,Bachelors,5,Never-married,Transport-moving,Other-relative,Asian-Pac-Islander,Male,73,97,93,gkrtfdicqfugvlwjpiwwhuev,>50K
97,79,Federal-gov,36,11th,9,Widowed,Sales,Not-in-family,Amer-Indian-Eskimo,Male,79,96,21,axjmqezkselxwllngtruezji,<=50K
98,13,Local-gov,27,HS-grad,10,Separated,Handlers-cleaners,Other-relative,White,Male,32,56,13,qsivzhvbrfrvhkltydrqiata,<=50K
99,85,?,16,11th,1,Never-married,Protective-serv,Own-child,White,Male,64,89,41,fsvgbzjxnimvfiuxdwhjpkmf,>50K
100,48,?,26,Doctorate,15,Married-AF-spouse,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,2,51,69,cmpjinimoeqrooldbdghltzb,<=50K
101,49,?,85,Prof-school,3,Married-civ-spouse,Other-service,Wife,Amer-Indian-Eskimo,Male,63,8,16,cojgixouydzskmeauqmledil,>50K
102,69,State-gov,89,7th-8th,9,Married-spouse-absent,?,Unmarried,White,Female,99,73,49,csvwjzqvzzuqrxeqwqjvptxg,<=50K
103,41,Federal-gov,87,Bachelors,9,Married-spouse-absent,Tech-support,Wife,Asian-Pac-Islander,Male,11,9,4,otpixdvtqtwcjtnejrqrymev,>50K
104,35,Self-emp-not-inc,59,Some-college,10,Never-married,Handlers-cleaners,Wife,White,Male,88,85,16,fwncqoabxaafpkvlfgekpyfl,>50K
105,64,Self-emp-not-inc,22,1st-4th,5,Never-married,?,Husband,Asian-Pac-Islander,Male,93,98,78,jwbqdeckltgekcllxpiehhfl,<=50K
106,95,Never-worked,65,Masters,5,Married-civ-spouse,Farming-fishing,Unmarried,Other,Male,5,97,76,qlinfcgustvotlzcnwxdkayh,<=50K
107,69,Self-emp-not-inc,84,Doctorate,12,Separated,Priv-house-serv,Unmarried,Asian-Pac-Islander,Male,70,55,19,dgleoxcwrketzopjchvhqbew,<=50K
108,94,Private,21,12th,9,Separated,?,Husband,White,Female,64,9,50,bifvkhmqtzffvbquspgqbwgf,>50K
109,0,Self-emp-inc,36,7th-8th,11,Married-spouse-absent,Sales,Not-in-family,Amer-Indian-Eskimo,Male,78,37,96,xqtadvmqsvcvfekiinaoxngl,>50K
110,50,Without-pay,47,1st-4th,16,Married-spouse-absent,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,50,10,16,jgygywvzuttqcdcietgmstzj,>50K
111,36,Self-emp-inc,68,7th-8th,10,Widowed,Craft-repair,Wife,Amer-Indian-Eskimo,Female,35,42,53,rnhfoavvvlpservpvobadrli,<=50K
112,34,Without-pay,54,9th,16,Widowed,Farming-fishing,Other-relative,Black,Male,22,99,73,wzuzvnlokkasadlibmipptwm,>50K
113,48,Never-worked,67,9th,11,Never-married,Armed-Forces,Other-relative,Black,Female,25,45,60,mtfztiayrqqbfzxslohrywpb,>50K
114,93,Without-pay,60,HS-grad,10,Widowed,Craft-repair,Not-in-family,Black,Male,7,80,28,xspowmywtmvpyakxhwvivnav,>50K
115,3,Self-emp-not-inc,21,Prof-school,14,Married-AF-spouse,Other-service,Unmarried,White,Female,38,50,48,kilnmhseahlowekjpxgcbvrn,<=50K
116,98,Self-emp-inc,34,Doctorate,3,Married-spouse-absent,Priv-house-serv,Own-child,Black,Male,52,27,80,qrrmnbofgrzkvkqpptopeeik,>50K
117,42,Local-gov,80,Prof-school,13,Separated,Craft-repair,Own-child,Asian-Pac-Islander,Female,52,23,95,qzqgezbcnctvgzxuhqnsflbz,<=50K
118,77,Local-gov,33,HS-grad,15,Divorced,Adm-clerical,Other-relative,Other,Female,55,96,31,jzybahjyswqrxajumhxctnxn,>50K
119,21,?,22,10th,14,Widowed,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,35,71,43,pszjioaavrobdnjjobajlyuh,<=50K
120,73,Without-pay,0,Assoc-voc,6,Widowed,Armed-Forces,Own-child,Asian-Pac-Islander,Male,93,86,26,dwhfldekudpwjyjaifwctecu,<=50K
121,0,Self-emp-inc,6,Assoc-acdm,8,Married-AF-spouse,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Female,81,26,37,cokstisjozdymbcvbszkjnaj,>50K
122,10,Local-gov,20,Prof-school,11,Married-spouse-absent,Armed-Forces,Husband,Other,Female,56,27,8,fuutswehpzqfjdrntuljaxou,<=50K
123,43,State-gov,13,Masters,12,Never-married,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Female,0,63,17,rhvlicnbeijmqqkdkftukhys,>50K
124,58,?,63,Preschool,2,Widowed,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Male,48,80,32,jkhebuzhjzrytllsklwetreu,<=50K
125,23,Without-pay,55,Bachelors,12,Married-spouse-absent,Prof-specialty,Husband,Black,Male,32,74,36,pfxtughqpzbvjplslomnuamd,<=50K
126,59,Self-emp-inc,36,Assoc-acdm,11,Married-civ-spouse,Other-service,Wife,Asian-Pac-Islander,Male,36,89,20,rzzswmjqanvifxcyeapsibqv,<=50K
127,2,Never-worked,4,Assoc-voc,15,Divorced,Other-service,Own-child,Black,Female,5,93,60,sxoiwgakrcylhcejjyzscauh,<=50K
128,98,Never-worked,87,Preschool,11,Divorced,Priv-house-serv,Other-relative,Other,Male,51,61,28,ewechlffxbkhylqhdclemckl,>50K
129,62,Never-worked,82,Assoc-acdm,3,Divorced,Exec-managerial,Own-child,White,Male,41,36,77,siewhdijlcgmrmeleqyoytpm,>50K
130,35,Self-emp-not-inc,47,Bachelors,1,Married-spouse-absent,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,65,19,46,rrqydjzrdzwaweoirwbohovh,<=50K
131,94,Never-worked,53,Some-college,8,Married-AF-spouse,Sales,Wife,Other,Male,90,43,97,vqakwdhmkzjhspjdclbcnuwq,<=50K
132,67,Federal-gov,76,12th,2,Widowed,Other-service,Husband,Black,Male,35,33,47,qpcpxekxrdcqozqujtdcbqsn,>50K
133,82,?,23,Assoc-acdm,13,Married-AF-spouse,?,Husband,Amer-Indian-Eskimo,Female,0,62,55,hkhqotyuhwmqiuoodgxlavlc,<=50K
134,46,Never-worked,77,Some-college,4,Widowed,?,Not-in-family,Other,Female,5,67,81,vmzqkuhmuhmkoumoxjvhnsbh,>50K
135,99,Without-pay,92,5th-6th,15,Separated,Craft-repair,Husband,Asian-Pac-Islander,Male,70,52,68,imgxbggzpmgnjcucqnwzaikn,<=50K
136,20,Without-pay,94,7th-8th,14,Never-married,Adm-clerical,Own-child,Black,Female,27,63,25,dnnqhckgmdzxrmorvupjhfjw,<=50K
137,81,Never-worked,50,HS-grad,9,Divorced,Priv-house-serv,Not-in-family,Other,Male,29,49,60,kfchydzrvmhchaazfjtiyixm,<=50K
138,50,Self-emp-inc,8,Assoc-acdm,7,Divorced,Priv-house-serv,Wife,White,Male,15,79,2,rdvruliyhkludscieezawwvz,>50K
139,27,Local-gov,55,7th-8th,2,Married-civ-spouse,Handlers-cleaners,Unmarried,Other,Male,73,100,55,dzmeczabrqaheowgxgqhbsei,<=50K
140,14,Local-gov,71,5th-6th,16,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,7,0,6,fixzexhghrzmqpzytwaqgnvw,>50K
141,41,Federal-gov,30,11th,12,Separated,Other-service,Not-in-family,Other,Male,47,59,2,dodtokbdlnkoczkuugpfnuig,<=50K
142,58,Self-emp-inc,11,Masters,13,Married-civ-spouse,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,88,87,60,phyxeruyrmapoplquzllehgu,<=50K
143,65,Local-gov,41,5th-6th,5,Divorced,Transport-moving,Not-in-family,Black,Female,19,20,88,mmtgdcqzlpbgcczutymdwhqg,<=50K
144,36,Without-pay,94,11th,1,Divorced,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,0,62,26,trmepsiwvxmwvpivimzeyvpy,<=50K
145,10,Never-worked,63,10th,16,Married-AF-spouse,Armed-Forces,Unmarried,Asian-Pac-Islander,Male,95,61,7,nmgzotpbnvsepfaniadgmipx,<=50K
146,86,Federal-gov,63,HS-grad,9,Separated,Other-service,Not-in-family,White,Female,64,56,38,dddqcxpbypypmuktaxpyanex,<=50K
147,43,State-gov,89,5th-6th,1,Married-civ-spouse,Transport-moving,Own-child,Black,Male,49,64,66,xukoqlabjagghvqoqofjnmof,<=50K
148,11,Without-pay,68,Some-college,8,Married-civ-spouse,?,Wife,Amer-Indian-Eskimo,Female,53,52,61,kmrkhafnlqlsmgcdchupdjtd,<=50K
149,2,?,41,7th-8th,8,Divorced,Machine-op-inspct,Unmarried,Other,Female,23,4,68,iwoyhjeimztltmcgsowjybhi,>50K
150,51,Self-emp-not-inc,4,Some-college,1,Married-civ-spouse,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Male,8,81,21,jbkicnyfkennhcexnjqbrwvd,>50K
151,80,Self-emp-inc,21,Prof-school,16,Separated,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Female,83,16,64,vkjuylznlptwrmtylxsltbpv,<=50K
152,32,Local-gov,64,HS-grad,5,Widowed,Transport-moving,Own-child,Black,Female,10,44,52,ehzmhmptnzrenrbebnsubebc,<=50K
153,54,Never-worked,77,Doctorate,5,Divorced,Exec-managerial,Own-child,Other,Male,24,49,24,nihszulcqxfdppwdqsfdbmwz,<=50K
154,0,Federal-gov,54,Masters,14,Married-AF-spouse,Machine-op-inspct,Husband,Black,Male,92,10,40,fvvdrdodunjdpaqjpjwtvpcb,<=50K
155,38,Never-worked,60,HS-grad,5,Married-civ-spouse,Armed-Forces,Husband,Black,Female,38,88,0,upeyjywembkepghhofzreeve,<=50K
156,19,Self-emp-not-inc,37,Bachelors,5,Married-AF-spouse,Farming-fishing,Husband,White,Male,37,73,10,dqxvxkhfyqocxkddulpcwofp,>50K
157,46,Self-emp-not-inc,66,7th-8th,14,Married-AF-spouse,Transport-moving,Unmarried,White,Female,84,53,39,nsexxymhngrjpmdqnngtyjvs,>50K
158,42,Local-gov,28,Assoc-acdm,8,Married-AF-spouse,Machine-op-inspct,Unmarried,Black,Female,70,84,17,ssllxjxlbgecbhhanvmkjqju,<=50K
159,56,Self-emp-not-inc,80,5th-6th,12,Married-civ-spouse,Prof-specialty,Other-relative,Black,Male,10,27,21,aivgrkzwqulxawhmmcsxwhhm,>50K
160,60,Private,17,Masters,2,Divorced,Transport-moving,Husband,Black,Female,94,42,95,wadfnfkbigishkhnnpnhswoz,<=50K
161,77,Private,52,9th,1,Married-spouse-absent,Handlers-cleaners,Wife,Black,Female,54,93,88,drmgsqmmdlvbxjnnxzgbmvwo,>50K
162,30,?,30,Assoc-voc,9,Married-spouse-absent,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Male,83,91,19,adiplydhcvuxamjvjwqwgxny,>50K
163,24,Self-emp-inc,76,Prof-school,12,Never-married,?,Wife,Asian-Pac-Islander,Female,3,29,61,tpcdwvevfsyvwblkoyhrboka,>50K
164,2,Private,81,11th,9,Married-AF-spouse,Machine-op-inspct,Unmarried,Other,Male,43,70,46,kxgiumrjuxititrbqtebssfc,<=50K
165,3,Federal-gov,71,Assoc-voc,12,Never-married,Tech-support,Unmarried,Amer-Indian-Eskimo,Female,57,13,6,ncjidbxirdrexhqdweuwcuuc,>50K
166,94,Local-gov,12,Bachelors,16,Never-married,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,15,53,49,mcttmdqpcnicykpbeccsarsj,<=50K
167,98,Federal-gov,24,Doctorate,16,Never-married,Craft-repair,Unmarried,Other,Female,96,61,55,jppylcxpdsmrwezvjwqakeyk,<=50K
168,13,State-gov,8,Some-college,6,Separated,Armed-Forces,Own-child,Black,Female,26,88,52,qkujbnyjyfmvgrndonidndjb,<=50K
169,40,?,64,Doctorate,9,Married-civ-spouse,Craft-repair,Wife,Asian-Pac-Islander,Female,34,96,6,suorrdoydvtlcfsppbsehzil,>50K
170,72,Local-gov,38,7th-8th,4,Divorced,Priv-house-serv,Wife,Asian-Pac-Islander,Male,17,47,51,slouaqtkixosatlluvkgdsym,<=50K
171,19,Federal-gov,53,Masters,13,Married-AF-spouse,Protective-serv,Husband,White,Male,61,44,38,vsyswllwkkuqhdvcfiornloo,<=50K
172,95,Private,82,Some-college,9,Married-spouse-absent,Other-service,Unmarried,White,Male,94,10,99,fwihqmzjcfvdonzmushbncer,<=50K
173,72,Federal-gov,85,Some-college,11,Married-civ-spouse,Tech-support,Other-relative,Black,Female,34,58,78,kpgiodkmpztqldrsvykcswze,<=50K
174,26,Private,25,Prof-school,14,Separated,?,Own-child,Amer-Indian-Eskimo,Male,72,45,65,lxubvjfnymlaxsqyybqvjkid,<=50K
